"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1WAKG0005","MERCER ISLAND 1.5 NW, WA US","2020-01-31",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-01",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-02",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-03",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-06",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-07",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-08",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-09",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-10",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-11",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-12",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-13",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-14",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-15",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-16",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-17",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-18",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-19",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-20",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-21",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-22",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-23",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-24",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-25",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-26",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-27",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-28",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-29",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-30",,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2020-01-31",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-01",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-02",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-04",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-05",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-06",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-07",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-08",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-09",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-10",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-11",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-12",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-13",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-14",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-15",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-18",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-19",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-22",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-23",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-24",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-25",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-26",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-27",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-28",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-29",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-30",,,,
"US1WAKG0028","REDMOND 1.0 N, WA US","2020-01-31",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-01",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-02",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-03",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-04",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-05",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-06",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-07",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-08",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-09",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-11",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-12",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-13",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-14",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-15",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-16",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-17",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-18",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-19",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-20",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-21",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-22",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-23",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-24",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-25",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-26",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-27",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-28",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-29",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-30",,,,
"US1WAKG0226","REDMOND 1.7 N, WA US","2020-01-31",,,,
"US1WAKG0004","RENTON 3.2 E, WA US","2020-01-13",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-01",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-02",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-03",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-04",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-05",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-06",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-07",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-08",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-09",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-10",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-11",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-13",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-14",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-15",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-16",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-17",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-18",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-19",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-20",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-21",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-22",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-23",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-24",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-25",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-26",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-27",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-28",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-29",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-30",,,,
"US1WAKG0243","SEATTLE 3.9 SSW, WA US","2020-01-31",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-01",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-02",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-03",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-05",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-06",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-07",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-09",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-10",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-11",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-18",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-23",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-24",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-25",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-26",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-27",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-28",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-29",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-30",,,,
"US1WAKG0145","SEATTLE 4.2 N, WA US","2020-01-31",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-01",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-02",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-03",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-04",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-05",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-06",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-07",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-08",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-09",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-10",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-11",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-12",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-13",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-15",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-16",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-17",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-18",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-19",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-20",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-21",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-22",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-23",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-24",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-25",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-26",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-27",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-28",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-29",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-30",,,,
"US1WAKG0200","SEATTLE 5.8 SSE, WA US","2020-01-31",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-01",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-02",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-03",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-04",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-05",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-06",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-07",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-08",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-09",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-10",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-11",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-12",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-13",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-14",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-16",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-17",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-18",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-19",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-20",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-21",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-22",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-23",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-24",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-25",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-26",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-27",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-28",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-29",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-30",,,,
"US1WAKG0065","BELLEVUE 1.8 W, WA US","2020-01-31",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-01",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-02",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-03",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-04",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-05",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-06",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-09",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-10",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-11",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-12",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-13",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-14",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-15",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-16",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-17",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-18",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-19",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-20",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-21",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-22",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-23",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-25",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-26",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-27",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-28",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-29",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-30",,,,
"US1WASN0092","EVERETT 5.5 SSE, WA US","2020-01-31",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-01",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-02",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-03",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-04",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-05",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-06",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-07",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-08",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-09",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-10",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-11",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-12",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-13",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-18",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-19",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-20",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-21",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-22",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-23",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-24",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-25",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-26",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-27",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-28",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-29",,,,
"US1WAKG0042","NEWPORT HILLS 1.9 SSE, WA US","2020-01-30",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-02",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-03",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-04",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-05",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-06",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-07",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-08",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-09",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-10",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-11",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-12",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-13",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-15",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-16",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-17",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-18",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-19",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-20",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-21",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-22",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-23",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-24",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-25",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-26",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-27",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-28",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-29",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-30",,,,
"US1WAKG0240","SAMMAMISH 3.0 ESE, WA US","2020-01-31",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-01",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-02",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-03",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-04",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-05",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-06",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-07",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-08",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-09",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-10",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-11",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-12",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-13",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-14",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-15",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-16",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-17",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-18",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-19",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-20",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-21",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-22",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-23",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-24",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-25",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-26",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-27",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-28",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-29",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-30",,,,
"US1WAKG0061","REDMOND 3.7 N, WA US","2020-01-31",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-01",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-02",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-03",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-04",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-05",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-06",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-07",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-08",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-09",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-10",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-11",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-17",,,,
"US1WAKG0081","RENTON 0.5 SSW, WA US","2020-01-18",,,,
